"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2026-04-08 a las 23:22:14 (tiempo del centro de Mexico)."
"Sismicidad del 1990-01-01 al 2024-12-31, todas las magnitudes, todas las profundidades, en Ciudad de Mexico."
"Total: 438 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1990-02-12,05:47:49,3.5,19.37,-99.2,4.0,"3 km al SUR de V ALVARO OBREGON, CDMX",1990-02-12,11:47:49,revisado
1990-03-17,18:49:18,3.2,19.22,-99.18,5.0,"3 km al ESTE de S MIGUEL AJUSCO, CDMX",1990-03-18,00:49:18,revisado
1990-04-22,06:37:53,3.3,19.37,-99.3,6.0,"2 km al SUROESTE de CUAJIMALPA, CDMX",1990-04-22,12:37:53,revisado
1991-08-18,07:18:12,3.8,19.33,-99.24,1.0,"3 km al OESTE de LA MAGDALENA C, CDMX",1991-08-18,13:18:12,revisado
1993-08-04,16:29:35,3.3,19.27,-99.02,12.0,"4 km al NOROESTE de S JUAN IXTAYOPAN, CDMX",1993-08-04,22:29:35,revisado
1994-02-01,17:21:38,3.8,19.47,-99.08,13.0,"4 km al SURESTE de GUSTAVO A. MADERO, CDMX",1994-02-01,23:21:38,revisado
1995-12-31,21:23:35,2.9,19.17,-98.98,11.0,"5 km al SURESTE de MILPA ALTA, CDMX",1996-01-01,03:23:35,revisado
1996-09-25,03:29:48,3.2,19.44,-99.1,6.0,"3 km al NORESTE de VENUSTIANO CARRANZA, CDMX",1996-09-25,08:29:48,revisado
1997-09-20,08:43:41,3.4,19.27,-99.17,7.0,"3 km al OESTE de XOCHIMILCO, CDMX",1997-09-20,13:43:41,revisado
1998-02-08,19:14:32,2.6,19.36,-99.19,11.0,"3 km al NOROESTE de COYOACAN, CDMX",1998-02-09,01:14:32,revisado
1998-08-18,11:27:33,2.9,19.18,-98.95,10.0,"5 km al SURESTE de S ANDRES MIXQUIC, CDMX",1998-08-18,16:27:33,revisado
1998-08-18,13:52:49,2.9,19.19,-98.99,3.0,"3 km al SUR de S ANTONIO TECOMITL, CDMX",1998-08-18,18:52:49,revisado
1998-09-08,17:19:57,3.2,19.46,-99.05,5.0,"7 km al SURESTE de GUSTAVO A. MADERO, CDMX",1998-09-08,22:19:57,revisado
1998-09-25,20:01:40,2.3,19.4,-99.06,13.0,"4 km al ESTE de IZTACALCO, CDMX",1998-09-26,01:01:40,revisado
1999-01-28,17:56:13,2.7,19.44,-99.21,9.0,"4 km al NOROESTE de MIGUEL HIDALGO, CDMX",1999-01-28,23:56:13,revisado
1999-04-06,07:20:04,2.8,19.38,-99.09,13.0,"2 km al SURESTE de IZTACALCO, CDMX",1999-04-06,12:20:04,revisado
1999-05-19,15:23:06,3.1,19.19,-98.96,5.0,"4 km al SUR de S ANDRES MIXQUIC, CDMX",1999-05-19,20:23:06,revisado
1999-05-22,01:57:26,3.1,19.18,-98.97,4.0,"5 km al SURESTE de S ANTONIO TECOMITL, CDMX",1999-05-22,06:57:26,revisado
1999-05-28,12:05:21,2.6,19.28,-98.98,3.0,"4 km al NORESTE de S JUAN IXTAYOPAN, CDMX",1999-05-28,17:05:21,revisado
1999-06-06,19:24:14,3.3,19.17,-98.96,5.0,"6 km al SUR de S ANDRES MIXQUIC, CDMX",1999-06-07,00:24:14,revisado
1999-07-25,09:26:01,3.6,19.19,-98.96,2.0,"4 km al SUR de S ANDRES MIXQUIC, CDMX",1999-07-25,14:26:01,revisado
1999-08-07,08:49:53,3.2,19.17,-98.97,16.0,"6 km al SURESTE de S ANTONIO TECOMITL, CDMX",1999-08-07,13:49:53,revisado
1999-12-15,22:25:07,2.6,19.28,-99.2,20.0,"4 km al SURESTE de TLALPAN, CDMX",1999-12-16,04:25:07,revisado
1999-12-15,22:26:32,3.0,19.27,-99.14,36.0,"1 km al SUR de XOCHIMILCO, CDMX",1999-12-16,04:26:32,revisado
1999-12-15,22:31:04,2.4,19.27,-99.21,9.0,"5 km al SURESTE de TLALPAN, CDMX",1999-12-16,04:31:04,revisado
2000-04-10,02:53:23,2.6,19.22,-98.99,14.0,"menos de 1 km al NOROESTE de S ANTONIO TECOMITL, CDMX",2000-04-10,07:53:23,revisado
2000-07-06,08:15:34,3.4,19.19,-98.96,5.0,"4 km al SUR de S ANDRES MIXQUIC, CDMX",2000-07-06,13:15:34,revisado
2000-10-13,21:44:48,3.1,19.36,-99.19,12.0,"3 km al NOROESTE de COYOACAN, CDMX",2000-10-14,02:44:48,revisado
2000-10-15,02:50:43,2.7,19.39,-99.11,5.0,"1 km al SUROESTE de IZTACALCO, CDMX",2000-10-15,07:50:43,revisado
2001-04-16,23:14:35,3.1,19.19,-98.97,14.0,"4 km al SURESTE de S ANTONIO TECOMITL, CDMX",2001-04-17,05:14:35,revisado
2001-09-14,12:13:15,2.9,19.31,-99.3,14.0,"3 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",2001-09-14,17:13:15,revisado
2003-01-08,15:27:22,3.0,19.18,-98.97,13.0,"5 km al SURESTE de S ANTONIO TECOMITL, CDMX",2003-01-08,21:27:22,revisado
2003-05-17,01:31:58,3.1,19.4,-99.12,18.0,"2 km al SUROESTE de VENUSTIANO CARRANZA, CDMX",2003-05-17,06:31:58,revisado
2003-09-25,20:53:36,2.9,19.47,-99.07,8.0,"5 km al SURESTE de GUSTAVO A. MADERO, CDMX",2003-09-26,01:53:36,revisado
2003-09-25,22:17:43,2.9,19.49,-99.08,4.0,"4 km al ESTE de GUSTAVO A. MADERO, CDMX",2003-09-26,03:17:43,revisado
2003-11-10,22:53:42,3.1,19.16,-98.98,32.0,"6 km al SURESTE de MILPA ALTA, CDMX",2003-11-11,04:53:42,revisado
2003-11-11,02:43:56,3.3,19.21,-98.95,12.0,"2 km al SURESTE de S ANDRES MIXQUIC, CDMX",2003-11-11,08:43:56,revisado
2003-11-15,21:17:13,4.0,19.18,-98.97,7.0,"5 km al SURESTE de S ANTONIO TECOMITL, CDMX",2003-11-16,03:17:13,revisado
2003-11-15,23:04:20,3.2,19.18,-98.97,15.0,"5 km al SURESTE de S ANTONIO TECOMITL, CDMX",2003-11-16,05:04:20,revisado
2003-11-21,23:53:42,3.1,19.48,-99.08,7.0,"3 km al ESTE de GUSTAVO A. MADERO, CDMX",2003-11-22,05:53:42,revisado
2003-11-25,23:04:26,3.6,19.19,-98.97,4.0,"4 km al SURESTE de S ANTONIO TECOMITL, CDMX",2003-11-26,05:04:26,revisado
2004-01-07,20:28:52,3.3,19.13,-98.97,2.0,"9 km al SURESTE de MILPA ALTA, CDMX",2004-01-08,02:28:52,revisado
2004-09-13,15:58:34,3.1,19.42,-99.17,11.0,"2 km al NOROESTE de BENITO JUAREZ, CDMX",2004-09-13,20:58:34,revisado
2004-12-11,00:18:02,3.2,19.38,-99.29,2.0,"1 km al NOROESTE de CUAJIMALPA, CDMX",2004-12-11,06:18:02,revisado
2004-12-14,11:47:34,3.3,19.18,-98.98,27.0,"4 km al SUR de S ANTONIO TECOMITL, CDMX",2004-12-14,17:47:34,revisado
2005-04-16,18:04:07,3.4,19.41,-99.07,19.0,"3 km al NORESTE de IZTACALCO, CDMX",2005-04-16,23:04:07,revisado
2005-05-12,03:06:25,3.4,19.2,-98.97,37.0,"3 km al SURESTE de S ANTONIO TECOMITL, CDMX",2005-05-12,08:06:25,revisado
2005-08-23,02:19:44,3.4,19.16,-99.14,4.0,"4 km al SUR de S MIGUEL TOPILEJO, CDMX",2005-08-23,07:19:44,revisado
2005-10-16,02:04:02,3.1,19.35,-99.09,5.0,"1 km al SURESTE de IZTAPALAPA, CDMX",2005-10-16,07:04:02,revisado
2005-10-16,09:12:36,3.5,19.3,-99.2,14.0,"3 km al SURESTE de TLALPAN, CDMX",2005-10-16,14:12:36,revisado
2005-10-16,09:35:09,3.2,19.31,-99.14,14.0,"4 km al NORTE de XOCHIMILCO, CDMX",2005-10-16,14:35:09,revisado
2006-03-11,19:41:32,3.6,19.17,-98.95,2.0,"6 km al SUR de S ANDRES MIXQUIC, CDMX",2006-03-12,01:41:32,revisado
2006-03-11,19:47:21,3.4,19.18,-98.96,5.0,"5 km al SUR de S ANDRES MIXQUIC, CDMX",2006-03-12,01:47:21,revisado
2006-05-05,10:24:06,3.5,19.17,-98.95,1.0,"6 km al SUR de S ANDRES MIXQUIC, CDMX",2006-05-05,15:24:06,revisado
2006-07-28,10:37:14,3.5,19.51,-99.06,5.0,"6 km al NORESTE de GUSTAVO A. MADERO, CDMX",2006-07-28,15:37:14,revisado
2007-01-25,08:38:22,3.7,19.18,-99.16,30.0,"3 km al SUROESTE de S MIGUEL TOPILEJO, CDMX",2007-01-25,14:38:22,revisado
2008-11-23,04:03:23,2.2,19.35,-99.25,12.0,"4 km al NOROESTE de LA MAGDALENA C, CDMX",2008-11-23,10:03:23,verificado
2008-11-23,04:11:53,2.5,19.34,-99.24,11.0,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2008-11-23,10:11:53,verificado
2008-11-23,04:52:39,1.6,19.34,-99.24,9.0,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2008-11-23,10:52:39,verificado
2009-07-11,16:29:33,2.9,19.34,-99.15,8.0,"2 km al SURESTE de COYOACAN, CDMX",2009-07-11,21:29:33,revisado
2009-10-26,17:45:13,3.0,19.24,-99.18,9.0,"4 km al NORESTE de S MIGUEL AJUSCO, CDMX",2009-10-26,23:45:13,revisado
2010-02-11,04:04:03,2.6,19.28,-99.16,12.0,"2 km al OESTE de XOCHIMILCO, CDMX",2010-02-11,10:04:03,revisado
2010-06-24,10:36:17,3.1,19.38,-99.15,14.0,"3 km al SURESTE de BENITO JUAREZ, CDMX",2010-06-24,15:36:17,revisado
2010-07-05,12:22:22,3.2,19.2,-98.95,5.0,"3 km al SURESTE de S ANDRES MIXQUIC, CDMX",2010-07-05,17:22:22,revisado
2012-10-21,04:34:19,3.5,19.1153,-99.2518,5.0,"12 km al SUROESTE de S MIGUEL AJUSCO, CDMX",2012-10-21,09:34:19,revisado
2013-01-18,22:47:44,2.9,19.3525,-99.1687,10.4,"1 km al NOROESTE de COYOACAN, CDMX",2013-01-19,04:47:44,revisado
2013-05-10,15:45:28,1.8,19.2933,-99.2935,1.6,"5 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",2013-05-10,20:45:28,revisado
2013-06-15,19:21:12,2.7,19.3855,-99.1425,8.5,"2 km al SURESTE de BENITO JUAREZ, CDMX",2013-06-16,00:21:12,revisado
2013-06-15,20:14:25,2.9,19.39,-99.1392,3.0,"2 km al SURESTE de BENITO JUAREZ, CDMX",2013-06-16,01:14:25,revisado
2013-06-16,12:10:18,2.9,19.3918,-99.0988,1.0,"menos de 1 km al SUROESTE de IZTACALCO, CDMX",2013-06-16,17:10:18,revisado
2013-06-16,13:00:59,2.4,19.2992,-99.173,4.0,"4 km al NOROESTE de XOCHIMILCO, CDMX",2013-06-16,18:00:59,revisado
2013-06-16,13:15:22,2.7,19.3467,-99.1317,1.0,"3 km al ESTE de COYOACAN, CDMX",2013-06-16,18:15:22,revisado
2013-06-17,12:19:28,2.3,19.356,-99.1258,1.0,"3 km al OESTE de IZTAPALAPA, CDMX",2013-06-17,17:19:28,revisado
2013-06-17,12:20:08,2.9,19.3695,-99.0872,1.0,"1 km al NORESTE de IZTAPALAPA, CDMX",2013-06-17,17:20:08,revisado
2013-06-17,13:41:53,2.1,19.3708,-99.12,1.7,"3 km al NOROESTE de IZTAPALAPA, CDMX",2013-06-17,18:41:53,revisado
2013-06-18,18:53:07,2.7,19.3638,-99.1188,5.0,"3 km al OESTE de IZTAPALAPA, CDMX",2013-06-18,23:53:07,revisado
2013-08-25,05:23:30,2.2,19.3197,-99.097,4.0,"4 km al SUR de IZTAPALAPA, CDMX",2013-08-25,10:23:30,revisado
2013-08-25,10:47:04,2.3,19.3115,-99.1022,1.1,"5 km al OESTE de TLAHUAC, CDMX",2013-08-25,15:47:04,revisado
2013-08-25,15:35:01,2.1,19.353,-99.1213,5.0,"3 km al OESTE de IZTAPALAPA, CDMX",2013-08-25,20:35:01,revisado
2013-08-25,15:43:41,2.3,19.3725,-99.0995,9.5,"2 km al NOROESTE de IZTAPALAPA, CDMX",2013-08-25,20:43:41,revisado
2013-08-25,16:03:44,2.2,19.3507,-99.196,2.0,"3 km al NORESTE de LA MAGDALENA C, CDMX",2013-08-25,21:03:44,revisado
2013-12-01,12:04:38,2.2,19.3755,-99.1875,5.6,"3 km al SURESTE de V ALVARO OBREGON, CDMX",2013-12-01,18:04:38,revisado
2013-12-02,04:09:15,2.0,19.3385,-99.1945,1.5,"2 km al NORESTE de LA MAGDALENA C, CDMX",2013-12-02,10:09:15,revisado
2014-07-19,06:57:21,2.9,19.1497,-98.9523,4.3,"8 km al SUR de S ANDRES MIXQUIC, CDMX",2014-07-19,11:57:21,revisado
2014-08-03,09:02:08,1.9,19.3173,-99.249,3.0,"3 km al NOROESTE de TLALPAN, CDMX",2014-08-03,14:02:08,revisado
2014-08-24,06:32:25,2.6,19.2528,-99.1095,3.7,"4 km al SURESTE de XOCHIMILCO, CDMX",2014-08-24,11:32:25,revisado
2014-09-05,19:26:28,2.1,19.443,-99.0585,9.3,"7 km al NORESTE de VENUSTIANO CARRANZA, CDMX",2014-09-06,00:26:28,revisado
2014-09-29,02:05:55,2.1,19.3772,-99.2607,3.0,"3 km al ESTE de CUAJIMALPA, CDMX",2014-09-29,07:05:55,revisado
2014-10-06,21:54:56,2.2,19.2253,-99.0972,3.2,"4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",2014-10-07,02:54:56,revisado
2014-10-06,22:04:11,2.4,19.2295,-99.0892,3.0,"4 km al NORTE de S SALVADOR CUAUHTENCO, CDMX",2014-10-07,03:04:11,revisado
2014-11-28,13:10:35,2.0,19.3753,-99.2245,8.0,"4 km al SUROESTE de V ALVARO OBREGON, CDMX",2014-11-28,19:10:35,revisado
2014-12-01,02:50:06,3.4,19.353,-99.2158,2.0,"2 km al NORTE de LA MAGDALENA C, CDMX",2014-12-01,08:50:06,revisado
2014-12-01,03:12:16,2.1,19.3548,-99.2268,3.9,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2014-12-01,09:12:16,revisado
2014-12-01,04:02:13,2.3,19.3673,-99.2317,4.6,"4 km al NOROESTE de LA MAGDALENA C, CDMX",2014-12-01,10:02:13,revisado
2014-12-01,04:45:47,2.2,19.36,-99.2287,1.6,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2014-12-01,10:45:47,revisado
2014-12-01,20:40:47,1.4,19.3582,-99.2225,5.2,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2014-12-02,02:40:47,revisado
2015-02-14,21:17:43,1.9,19.157,-98.9508,10.7,"8 km al SUR de S ANDRES MIXQUIC, CDMX",2015-02-15,03:17:43,revisado
2015-04-09,03:38:16,2.3,19.4022,-99.0728,7.0,"3 km al NORESTE de IZTACALCO, CDMX",2015-04-09,08:38:16,revisado
2015-06-21,11:52:12,1.8,19.3293,-99.1553,4.2,"2 km al SURESTE de COYOACAN, CDMX",2015-06-21,16:52:12,revisado
2015-07-19,17:09:39,2.0,19.3973,-99.233,5.0,"3 km al OESTE de V ALVARO OBREGON, CDMX",2015-07-19,22:09:39,revisado
2015-08-23,05:39:02,2.3,19.241,-99.1818,3.0,"4 km al NORESTE de S MIGUEL AJUSCO, CDMX",2015-08-23,10:39:02,revisado
2015-09-12,19:06:27,1.9,19.3905,-99.1535,2.0,"1 km al SURESTE de BENITO JUAREZ, CDMX",2015-09-13,00:06:27,revisado
2015-10-24,00:28:32,1.9,19.424,-99.19,2.0,"2 km al NORTE de MIGUEL HIDALGO, CDMX",2015-10-24,05:28:32,revisado
2016-08-19,09:03:59,1.9,19.4465,-99.1848,5.0,"4 km al SUR de AZCAPOTZALCO, CDMX",2016-08-19,14:03:59,revisado
2016-11-03,11:47:38,2.1,19.35,-99.352,3.0,"4 km al NOROESTE de SAN LORENZO ACOPILCO, CDMX",2016-11-03,17:47:38,revisado
2017-02-28,18:57:36,2.4,19.349,-99.1397,4.5,"2 km al ESTE de COYOACAN, CDMX",2017-03-01,00:57:36,revisado
2017-02-28,20:47:14,2.4,19.35,-99.1487,5.9,"1 km al ESTE de COYOACAN, CDMX",2017-03-01,02:47:14,revisado
2017-03-01,03:56:52,2.6,19.338,-99.1462,5.6,"2 km al SURESTE de COYOACAN, CDMX",2017-03-01,09:56:52,revisado
2017-03-01,03:57:21,2.4,19.3417,-99.1345,2.2,"3 km al SURESTE de COYOACAN, CDMX",2017-03-01,09:57:21,revisado
2017-03-01,20:27:12,1.8,19.339,-99.145,5.1,"2 km al SURESTE de COYOACAN, CDMX",2017-03-02,02:27:12,revisado
2017-03-02,07:01:45,1.5,19.339,-99.145,5.1,"2 km al SURESTE de COYOACAN, CDMX",2017-03-02,13:01:45,revisado
2017-05-15,07:58:04,2.6,19.3458,-99.2348,9.3,"3 km al NOROESTE de LA MAGDALENA C, CDMX",2017-05-15,12:58:04,revisado
2017-06-16,06:43:07,2.4,19.3932,-99.1357,5.0,"3 km al SURESTE de BENITO JUAREZ, CDMX",2017-06-16,11:43:07,revisado
2017-07-16,14:04:59,1.7,19.3908,-99.3862,3.0,"9 km al NOROESTE de SAN LORENZO ACOPILCO, CDMX",2017-07-16,19:04:59,revisado
2017-09-09,21:54:12,2.7,19.2965,-99.1813,8.5,"5 km al SURESTE de TLALPAN, CDMX",2017-09-10,02:54:12,revisado
2017-09-20,00:14:01,1.7,19.276,-99.2058,4.5,"4 km al SURESTE de TLALPAN, CDMX",2017-09-20,05:14:01,revisado
2017-09-20,00:25:27,1.3,19.337,-99.2043,4.8,"1 km al NORESTE de LA MAGDALENA C, CDMX",2017-09-20,05:25:27,revisado
2017-09-20,03:03:53,1.9,19.3773,-99.2663,2.0,"2 km al ESTE de CUAJIMALPA, CDMX",2017-09-20,08:03:53,revisado
2017-09-20,04:32:55,1.3,19.266,-99.2108,2.2,"5 km al SURESTE de TLALPAN, CDMX",2017-09-20,09:32:55,revisado
2017-09-28,22:10:20,1.7,19.3487,-99.3265,1.1,"2 km al NORTE de SAN LORENZO ACOPILCO, CDMX",2017-09-29,03:10:20,revisado
2017-10-16,01:04:32,1.7,19.3285,-99.1655,2.0,"2 km al SUR de COYOACAN, CDMX",2017-10-16,06:04:32,revisado
2017-10-16,01:05:30,1.9,19.3292,-99.1775,2.1,"3 km al SUROESTE de COYOACAN, CDMX",2017-10-16,06:05:30,revisado
2017-10-17,02:00:26,1.8,19.318,-99.1677,3.0,"4 km al SUR de COYOACAN, CDMX",2017-10-17,07:00:26,revisado
2017-10-28,01:52:35,2.5,19.2183,-99.2253,2.4,"2 km al OESTE de S MIGUEL AJUSCO, CDMX",2017-10-28,06:52:35,revisado
2017-11-07,09:10:33,1.5,19.3895,-99.152,3.0,"2 km al SURESTE de BENITO JUAREZ, CDMX",2017-11-07,15:10:33,revisado
2017-11-09,04:10:36,1.5,19.3263,-99.1792,7.0,"3 km al SUROESTE de COYOACAN, CDMX",2017-11-09,10:10:36,revisado
2017-11-09,04:11:33,1.3,19.3463,-99.1518,7.0,"1 km al SURESTE de COYOACAN, CDMX",2017-11-09,10:11:33,revisado
2017-11-09,04:12:07,2.0,19.3763,-99.1855,8.5,"3 km al SURESTE de V ALVARO OBREGON, CDMX",2017-11-09,10:12:07,revisado
2017-11-15,05:25:44,1.8,19.272,-99.2733,14.1,"6 km al SUROESTE de TLALPAN, CDMX",2017-11-15,11:25:44,revisado
2017-12-29,01:38:57,2.5,19.3855,-99.1642,1.0,"2 km al SUROESTE de BENITO JUAREZ, CDMX",2017-12-29,07:38:57,revisado
2018-02-13,15:39:38,3.3,19.4608,-99.0723,2.0,"5 km al SURESTE de GUSTAVO A. MADERO, CDMX",2018-02-13,21:39:38,revisado
2018-03-24,17:24:26,3.3,19.1898,-98.9477,1.0,"4 km al SURESTE de S ANDRES MIXQUIC, CDMX",2018-03-24,23:24:26,revisado
2018-05-07,08:25:56,2.9,19.4012,-99.2277,6.6,"3 km al OESTE de V ALVARO OBREGON, CDMX",2018-05-07,13:25:56,revisado
2018-06-15,03:41:10,2.5,19.333,-99.1737,3.0,"2 km al SUROESTE de COYOACAN, CDMX",2018-06-15,08:41:10,revisado
2018-06-15,18:00:13,2.7,19.3945,-99.1868,1.5,"1 km al SURESTE de MIGUEL HIDALGO, CDMX",2018-06-15,23:00:13,revisado
2018-06-30,13:32:40,2.2,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",2018-06-30,18:32:40,revisado
2018-06-30,13:33:25,1.7,19.39,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",2018-06-30,18:33:25,revisado
2018-06-30,13:37:00,2.6,19.3895,-99.153,3.5,"1 km al SURESTE de BENITO JUAREZ, CDMX",2018-06-30,18:37:00,revisado
2018-07-15,20:23:52,1.7,19.4203,-99.1952,3.0,"2 km al NOROESTE de MIGUEL HIDALGO, CDMX",2018-07-16,01:23:52,revisado
2018-07-15,20:34:14,2.2,19.417,-99.215,4.0,"2 km al NOROESTE de V ALVARO OBREGON, CDMX",2018-07-16,01:34:14,revisado
2018-07-18,15:13:00,1.9,19.375,-99.201,3.0,"3 km al SUR de V ALVARO OBREGON, CDMX",2018-07-18,20:13:00,revisado
2018-07-19,06:34:58,1.9,19.3727,-99.2007,3.2,"3 km al SUR de V ALVARO OBREGON, CDMX",2018-07-19,11:34:58,revisado
2018-07-28,07:54:21,2.4,19.3908,-99.2298,4.4,"3 km al SUROESTE de V ALVARO OBREGON, CDMX",2018-07-28,12:54:21,revisado
2018-09-14,11:07:57,2.1,19.3748,-99.1347,1.3,"4 km al SURESTE de BENITO JUAREZ, CDMX",2018-09-14,16:07:57,revisado
2018-09-14,11:20:13,2.0,19.3797,-99.129,1.2,"4 km al SUROESTE de IZTACALCO, CDMX",2018-09-14,16:20:13,revisado
2018-09-14,11:39:23,1.5,19.38,-99.129,1.0,"4 km al SUROESTE de IZTACALCO, CDMX",2018-09-14,16:39:23,revisado
2018-09-27,22:56:39,2.1,19.32,-99.163,1.0,"3 km al SUR de COYOACAN, CDMX",2018-09-28,03:56:39,revisado
